student_id,age,gender,residency,socioeconomic_status,parental_education,family_income,distance_to_university,study_hours_weekly,attendance_rate,library_usage,extracurricular_activities,internet_access,device_ownership,previous_grade,math_score,science_score,english_score,study_group_participation,scholarship_status,campus_housing,part_time_job,commute_time,sleep_hours,stress_level,course_load,faculty,year_of_study,mobile_money_usage,health_status,academic_performance,study_hours_binned,total_score
44,19,Male,Rural,Middle,Secondary,23302.22,10.6,8.5,0.567447297,0.3,Clubs,Yes,Laptop,66.8,54.9,73.3,45.2,Yes,None,On-Campus,No,49.2,6.9,High,15,Engineering,3rd,2117.68,Excellent,Poor,Low,57.8
45,18,Female,Rural,Low,Secondary,30030.46,65.8,15.6,0.7481949566658948,1.8,Both,Yes,Laptop,44.2,70,40.6,59.5,Yes,None,On-Campus,No,40.6,8.4,Low,18.3,Engineering,3rd,1377.79,Good,NA,Moderate,56.7
46,18,Female,Rural,Middle,Secondary,4495.35,89.6,11.5,0.961271028,7.7,Sports,Yes,None,98.1,60.1,42.7,72.6,No,None,Off-Campus,No,2.2,7.4,Low,16.9,Arts,4th,6480.93,Fair,Excellent,Moderate,58.46666666666667
47,25,Other,Urban,Middle,Secondary,9515.29,38.9,12.7,0.526982272,4.9,None,Yes,Both,89.8,39.6,61.6,39.2,No,Partial,Off-Campus,Yes,39.7,6.6,Low,8.5,Engineering,2nd,4138.36,Excellent,Average,Moderate,46.800000000000004
48,24,Female,Urban,Low,Primary,45061.38,45.4,21.5,0.787081052,0.2,None,No,Smartphone,72.8,59.6,24.4,45.7,Yes,None,Off-Campus,No,42.6,8.6,Low,16.9,Sciences,3rd,-1893.34,Fair,NA,High,43.233333333333334
49,23,Male,Urban,Middle,Tertiary,25927.51,21.4,15.6,0.768987658,3.6,None,Yes,Both,65.2,56.7,75,58.9,No,None,On-Campus,No,52.6,6.4,Low,13.9,Engineering,4th,4172.09,Excellent,Excellent,Moderate,63.53333333333333
50,29,Male,Rural,Low,Secondary,32576.75,78.7,13.2,0.662759105,3,Clubs,No,Both,91.3,74.6,58.6,59.4,Yes,None,Off-Campus,No,16.5,6.7,High,20.1,Education,4th,342.35,Good,Poor,Moderate,64.2
51,28,Female,Rural,Middle,Secondary,12469.81,42.6,15.2,0.898289033,6.2,Clubs,Yes,Both,72.1,88.7,95.5,61.4,No,None,Off-Campus,Yes,34.1,8.7,Low,17.5,Business,1st,5674.17,Good,Excellent,Moderate,81.86666666666667
52,27,Female,Urban,High,Secondary,16208.07,1.3,11.2,0.998435854,0.9,Sports,Yes,Laptop,51.9,33.9,64.8,55.4,No,None,Off-Campus,No,46.1,5.6,Moderate,15.7,Education,1st,4267.56,Good,Excellent,Moderate,51.36666666666667
53,21,Male,Urban,High,Primary,1842.77,87,10.9,0.875238177,5.8,Both,Yes,None,92.3,61,54.6,89.3,Yes,None,Off-Campus,No,10.2,7,Low,15.3,Business,3rd,6758.28,Excellent,Good,Moderate,68.3
54,23,Female,Rural,Low,None,34216.46,16.3,9.8,0.629559625,5.8,Clubs,No,Smartphone,70.8,56.9,67,60.8,Yes,None,Off-Campus,Yes,21.7,4.9,Low,16.5,Education,3rd,4981.68,Excellent,Poor,Low,61.56666666666666
55,22,Female,Rural,Middle,Tertiary,25308.745,66.6,9.1,0.859698641,-0.6,Clubs,Yes,Both,61.1,82.1,77.9,55.8,Yes,None,Off-Campus,Yes,39,8.1,Moderate,11.2,Sciences,2nd,3198.03,Good,Good,Low,71.93333333333334
56,29,Female,Urban,Middle,Primary,31228.16,71,24.1,0.535827132,8.4,Both,Yes,None,76.7,52.9,52.5,66.8,No,Full,On-Campus,No,27.1,6.8,Low,16.3,Education,3rd,3331.93,Fair,Excellent,High,57.4
57,29,Female,Urban,Low,Secondary,40180.2,46.6,17.6,0.536884511,6.9,Both,Yes,Smartphone,99.9,73.3,35.5,59.9,Yes,None,Off-Campus,No,25.4,8.2,High,16.9,Sciences,3rd,694.69,Excellent,Average,Moderate,56.233333333333334
58,25,Male,Urban,Middle,Secondary,40133.77,67.3,19.3,0.777684151,8,Clubs,No,Smartphone,90.2,65.9,48.2,71.7,No,Full,Off-Campus,Yes,45.3,5.7,Low,13.1,Engineering,1st,4196.6,Good,Average,Moderate,61.93333333333334
59,19,Male,Rural,Middle,Tertiary,39866.19,73.2,16.7,0.519240277,8.5,Sports,Yes,Both,97.2,48.3,55.8,33.6,Yes,None,On-Campus,No,30.4,8.3,Low,17.5,Business,1st,4288.89,Good,Poor,Moderate,45.9
60,20,Male,Urban,Middle,None,6545.06,47.9,14,0.648453127,7.7,Sports,Yes,Laptop,95.8,44.6,71.9,53.7,Yes,None,Off-Campus,No,49.6,6.6,Low,20.7,Sciences,3rd,5164.39,Fair,Excellent,Moderate,56.733333333333334
61,21,Male,Urban,Middle,None,14365.68,41.5,12.6,0.7481949566658948,0.9,Sports,Yes,None,85.4,47.4,75.1,63.3,Yes,Full,Off-Campus,No,15.5,5,High,10.2,Engineering,1st,3293.66,Good,NA,Moderate,61.93333333333333
62,22,Female,Urban,Middle,Secondary,43161.45,64.7,12,0.541220374,8.9,Sports,No,Both,84,51,43.2,87.6,Yes,Full,On-Campus,No,31.8,6.6,Low,18.8,Sciences,4th,6379.89,Fair,Average,Moderate,60.6
63,21,Female,Rural,Middle,Tertiary,39277.6,95.3,12,0.897301253,6.5,Sports,No,None,64.7,67.9,76.9,1.8,No,None,Off-Campus,No,14.1,6,High,16.5,Engineering,1st,2505.4,Fair,Poor,Moderate,48.86666666666667
64,25,Male,Rural,Middle,Secondary,10948.27,64.1,19.6,0.7481949566658948,3.8,Both,Yes,None,42.6,42.3,94.1,75.7,No,None,Off-Campus,No,31,5.2,Moderate,11.7,Arts,2nd,8010.1,Good,NA,Moderate,70.7
65,17,Male,Rural,High,Secondary,29679.51,3,14.4,0.830673292,-0.1,Sports,Yes,Smartphone,40.4,23.9,66.5,61.9,Yes,None,Off-Campus,Yes,12.1,5.4,Low,18.8,Sciences,2nd,4407.88,Good,Average,Moderate,50.766666666666666
66,21,Female,Rural,Low,None,-1112.9,0.6,9.5,0.749287403,1.4,Both,No,Laptop,98.8,70.3,46.4,71.9,Yes,Partial,On-Campus,No,5.2,7.6,Moderate,20.3,Engineering,2nd,284.16,Fair,Average,Low,62.86666666666667
67,25,Male,Rural,Low,Primary,22271.55,84.4,14.9,0.81942729,7.5,Both,No,Smartphone,94,56.1,57.3,53.5,Yes,None,On-Campus,No,30.3,10.1,High,14.6,Engineering,2nd,2357.77,Good,Poor,Moderate,55.63333333333333
68,22,Male,Rural,Low,Secondary,57954.94,57.3,9.2,0.807177292,5.5,None,Yes,Smartphone,63.4,46.3,58.7,67.5,No,None,Off-Campus,No,29.3,5.9,Moderate,12.8,Sciences,2nd,4519.54,Fair,Average,Low,57.5
69,24,Male,Urban,Middle,Secondary,37111.1,58.1,19.9,0.805009836,-0.9,Both,Yes,Smartphone,79.5,61.5,71.1,76.7,No,Partial,Off-Campus,Yes,22.3,8.4,Low,15.6,Arts,2nd,1573.59,Excellent,Excellent,Moderate,69.76666666666667
70,24,Female,Rural,Low,Secondary,25314.53,39.4,11.3,0.519556088,0.9,Clubs,No,Both,49.8,31.1,50.9,50.2,Yes,None,Off-Campus,No,21,6,High,18.4,Business,1st,-321.7,Excellent,Poor,Moderate,44.06666666666667
71,30,Female,Urban,Middle,Primary,9914.87,41.8,13.2,0.618849492,3.8,None,Yes,Laptop,72.9,36,66.7,70.7,Yes,None,Off-Campus,No,-5,7.3,High,14.8,Engineering,1st,4799.09,Excellent,Poor,Moderate,57.800000000000004
72,28,Female,Rural,High,Primary,1033.81,28.2,10.3,0.783050825,4.9,Both,Yes,None,42.5,55.6,71.1,59.3,No,None,Off-Campus,No,51.1,8.2,Low,11.1,Arts,2nd,1991.81,Fair,Good,Moderate,62
73,20,Male,Urban,Middle,Secondary,32881.2,73.4,16.7,0.93582219,14,Both,No,Smartphone,88.8,58.8,57,68,No,None,Off-Campus,No,48.7,9.4,High,16.2,Business,4th,4877.51,Excellent,Poor,Moderate,61.266666666666666
74,18,Female,Urban,Middle,None,45982.18,43.7,12.2,0.530827652,9.1,Both,Yes,None,46.3,69.9,102.6,49.7,Yes,None,On-Campus,No,33.1,9.9,Low,12.6,Education,3rd,1564.42,Fair,Good,Moderate,74.06666666666666
75,23,Male,Urban,Middle,Secondary,25895.19,29.3,13,0.846742791,7.2,Sports,Yes,None,46.1,86.4,63.9,61.1,No,None,On-Campus,No,8.3,8.1,Moderate,15.6,Business,2nd,843.63,Fair,Excellent,Moderate,70.46666666666667
76,17,Female,Rural,Middle,Primary,32137.81,7.3,19.4,0.841277649,7.7,Clubs,No,Laptop,71.3,45.3,62.3,62.3,No,None,On-Campus,No,24.6,7.7,Moderate,14.4,Arts,2nd,1216.91,Excellent,Excellent,Moderate,56.63333333333333
77,21,Male,Rural,Low,Primary,9488.74,4.8,18.9,0.852294026,7.7,None,Yes,Laptop,40.3,42.4,64.3,63.8,No,None,On-Campus,No,19.2,7.1,Moderate,12.8,Engineering,1st,6363.33,Fair,Good,Moderate,56.83333333333333
78,22,Male,Urban,High,Secondary,34111.37,28.1,8.6,0.974583357,2.3,Clubs,No,Smartphone,40.6,85.7,53.4,83.8,No,None,On-Campus,No,51.4,6.7,Low,12,Sciences,1st,6045.59,Fair,Good,Low,74.3
79,23,Male,Urban,Low,None,-3684.3,3.2,20.1,0.668202416,-0.1,None,Yes,Smartphone,99.7,43.6,77.1,73,No,None,Off-Campus,Yes,29.4,5.6,High,14.7,Sciences,2nd,-1918.27,Good,Good,High,64.56666666666666
80,25,Female,Urban,Low,Tertiary,5046.63,96,16.4,0.781142779,5.8,Clubs,Yes,Laptop,59.5,91.8,67.4,57,No,None,Off-Campus,Yes,15.8,7.1,High,17,Sciences,4th,4724.2,Good,Average,Moderate,72.06666666666666
81,23,Female,Urban,High,Secondary,18041.09,21.4,8,0.644353544,4,None,No,Laptop,55.6,31,58.5,34.8,Yes,Partial,On-Campus,No,8.4,7.2,Low,14.9,Sciences,3rd,5873.56,Good,Poor,Low,41.43333333333333
82,24,Male,Rural,Middle,Primary,15267,56.9,9.7,0.607462459,8.1,Both,Yes,None,47.2,67.5,81.4,63.3,Yes,Partial,On-Campus,Yes,36,5.7,Low,10.7,Sciences,2nd,759.27,Good,Good,Low,70.73333333333333
83,25,Female,Urban,Middle,Tertiary,12576.72,76.7,9.6,0.559794595,7.9,Both,Yes,Smartphone,65.1,70.1,71.6,56,Yes,Partial,On-Campus,No,6.2,7.4,Moderate,17,Sciences,2nd,6515.9,Excellent,Good,Low,65.89999999999999
84,29,Female,Urban,Middle,Tertiary,24236.72,62.7,6.3,0.837529733,-1.3,Sports,Yes,None,80,82.2,71.5,60,Yes,Full,Off-Campus,No,47.9,8.5,High,16.4,Sciences,3rd,3035.17,Fair,Average,Low,71.23333333333333
85,22,Female,Rural,Middle,Tertiary,16444.96,47.8,16.2,0.884614727,6.8,Sports,No,Laptop,65.4,71.2,80.4,62.4,Yes,None,Off-Campus,No,12.3,3.2,High,12.8,Arts,3rd,2866.47,Fair,Average,Moderate,71.33333333333334
86,28,Male,Urban,Low,Tertiary,38526.04,36.8,3.2,0.667313504,7.5,Both,Yes,Laptop,89.2,43.2,82.9,66.5,No,None,On-Campus,No,32.1,7.9,Moderate,14.5,Engineering,2nd,3508.47,Excellent,Average,Low,64.2
87,24,Male,Urban,Middle,None,49734.69,50.3,11.7,0.779864134,4.5,Both,No,Laptop,42.7,71.9,62.8,59.4,No,None,On-Campus,No,49.5,7.9,Moderate,17.9,Arts,4th,1961.81,Excellent,Average,Moderate,64.7
88,23,Other,Urban,High,Tertiary,15608.2,40.1,16.8,0.827197037,1.3,Both,Yes,Smartphone,58,20.7,51,51.9,No,Partial,Off-Campus,No,14.5,4,High,14.7,Arts,2nd,5824.6,Excellent,Poor,Moderate,41.2
89,30,Female,Urban,Middle,Secondary,-12718.855,90.2,18.5,0.758864073,6.9,Sports,Yes,Smartphone,40.6,66.8,63.1,58.2,No,Partial,Off-Campus,No,26.5,5.6,Low,16.9,Engineering,2nd,4275.57,Excellent,Excellent,Moderate,62.7
90,28,Female,Urban,Middle,Secondary,25308.745,52,13.9,0.537887929,6.1,Sports,No,Smartphone,82.1,54.1,58.1,43.8,Yes,None,Off-Campus,No,-2,7.2,Low,15.8,Arts,4th,719.77,Good,Poor,Moderate,52
91,24,Male,Rural,Middle,Secondary,21646.94,12.4,19,0.511072628,1.7,Sports,No,Laptop,66,59.6,75.7,56.9,No,Full,Off-Campus,Yes,52.5,4.7,Moderate,13.6,Sciences,4th,104.38,Good,NA,Moderate,64.06666666666666
92,27,Male,Urban,Low,Tertiary,16710.14,89.6,17.4,0.532130477,-1.4,None,Yes,Laptop,51.6,60.7,69.4,31.4,No,Partial,On-Campus,No,31.7,6.6,High,16.5,Sciences,4th,2443.5,Fair,Poor,Moderate,53.833333333333336
93,24,Male,Urban,Middle,Primary,20282.75,58.9,14.7,0.56525996,6.9,None,Yes,Smartphone,55.2,73,68.9,55.2,Yes,None,On-Campus,Yes,12.4,9.6,Low,16.1,Arts,3rd,977.28,Good,Good,Moderate,65.7
94,30,Other,Urban,Low,Primary,27881.56,57.2,13.9,0.941947471,7.4,Sports,Yes,None,55.5,36.9,21.7,52.7,Yes,Partial,On-Campus,No,31.2,7.2,High,18.4,Sciences,2nd,2514.81,Excellent,Poor,Moderate,37.1
95,27,Male,Rural,Middle,Secondary,20787.2,25.3,21.9,0.873960222,2.8,Clubs,Yes,Both,88.5,76,80.9,42,No,Partial,On-Campus,No,5.4,8.2,High,14.9,Arts,2nd,2714.55,Fair,Average,High,66.3
96,27,Male,Rural,Low,Primary,25308.745,35,15.9,0.690495426,3,None,No,Laptop,75.8,49.7,74.3,79,No,None,Off-Campus,No,26.1,6.8,Low,14,Sciences,4th,2144.07,Good,Good,Moderate,67.66666666666667
97,19,Female,Rural,High,None,27662.63,18.2,10.7,0.818389412,7.3,None,No,Smartphone,55.9,31.9,67.2,67.1,No,None,Off-Campus,No,12.4,8.7,Moderate,13.5,Business,3rd,1473.65,Excellent,Average,Moderate,55.4
98,22,Male,Urban,Middle,Tertiary,30024.17,47.9,24,0.575991754,7.6,Both,Yes,Laptop,64.9,72.6,29.1,51,No,None,On-Campus,No,4.5,8.8,Low,20.1,Arts,1st,5711.18,Fair,Good,High,50.9
99,26,Male,Rural,Low,Secondary,32525.9,55.4,18.4,0.76218778,3.8,Sports,Yes,None,86.8,63.5,70.4,56.6,Yes,None,On-Campus,No,33.2,5.2,Low,12.9,Business,1st,3180.53,Fair,Excellent,Moderate,63.5
100,26,Female,Urban,Middle,Secondary,9288.04,36.7,17.6,0.757068663,1.8,Both,Yes,Both,70.6,74.8,65.5,73.9,No,None,On-Campus,No,20.3,6.4,Low,19.7,Education,1st,6531.6,Good,Excellent,Moderate,71.4
101,20,Male,Rural,Low,None,22355.25,82.4,12.5,0.724906546,8.7,Clubs,Yes,None,60.6,71.5,53.2,91.5,Yes,None,On-Campus,No,38.5,5.8,Low,16.7,Education,1st,494.79,Excellent,Good,Moderate,72.06666666666666
102,19,Female,Urban,Low,Primary,25308.745,77.8,15.9,0.967799143,10.8,Clubs,Yes,None,72.1,52.1,43.1,55,No,None,Off-Campus,No,35.7,4.8,Moderate,18.9,Business,4th,4897.01,Fair,Excellent,Moderate,50.06666666666667
103,22,Female,Urban,Low,Secondary,24021.89,92.9,16.9,0.729529415,4.4,None,Yes,Laptop,63.5,66.8,46.6,47,No,Partial,On-Campus,No,27.8,8.3,High,16.5,Arts,3rd,1149.26,Fair,Poor,Moderate,53.46666666666667
104,21,Female,Rural,High,Primary,54633.89,29.3,19.1,0.930509539,6.5,None,Yes,Both,56.8,46.9,54.4,53.9,Yes,Full,On-Campus,Yes,41.3,8,High,16.8,Arts,1st,1348.51,Good,Poor,Moderate,51.733333333333334
105,27,Male,Urban,Middle,Secondary,36823.91,12.2,11.6,0.679025326,9.8,None,Yes,Smartphone,89,34.6,63.1,51.1,No,None,On-Campus,No,30.5,7.9,High,16.8,Arts,4th,3398.18,Good,Poor,Moderate,49.6
106,27,Male,Urban,Middle,Secondary,3026.05,32,15.7,0.725084748,9.8,None,Yes,Laptop,92.6,18.1,43.9,54.1,No,Full,Off-Campus,No,12.3,10.3,Moderate,15.9,Arts,1st,4034.13,Fair,Good,Moderate,38.7
